A Heterogeneous System for Real-Time Detection with AdaBoost,computer science,distributed computing,real time computing
A novel conformal jigsaw EBG structure design,mathematics,mathematical optimization,telecommunications
A source-seeking strategy for an autonomous underwater vehicle via on-line field estimation,computer science,control theory,control engineering
Social and ethical behavior in the internet of things,computer science,internet privacy,internet of things
Prediction of consensus binding mode geometries for related chemical series of positive allosteric modulators of adenosine and muscarinic acetylcholine receptors,chemistry,biochemistry,binding site
Data-Driven Relevance Judgments for Ranking Evaluation.,NA,NA,NA
Studying Linguistic Changes over 200 Years of Newspapers through Resilient Words Analysis,computer science,artificial intelligence,speech recognition
Small secret exponent attacks on RSA with unbalanced prime factors,mathematics,discrete mathematics,theoretical computer science
Automatic Container Code Recognition via Spatial Transformer Networks and Connected Component Region Proposals,computer science,artificial intelligence,pattern recognition
Effective solution for a medical tourism aggregative system using the data mining approach,business,data mining,marketing
Modeling Physical Structure as Additional Constraints for Stereoscopic Optical See-Through Head-Mounted Display Calibration,computer science,artificial intelligence,computer vision
Delay analysis of completely irrepressible sequences for mobile ad hoc networks,computer science,distributed computing,computer network
Use of Digital Tools by Preschool Children: Preliminary Results.,psychology,pedagogy,literacy
MR Imaging Method for Measurement of Local Dynamics in Human Tissues.,materials science,analytical chemistry,perfusion
A high-performance portable abstract interface for explicit SIMD vectorization,computer science,computer architecture,parallel computing
Index Appearance Record for Transforming Rabin Automata into Parity Automata.,mathematics,algorithm,discrete mathematics
One-Page Multimedia Interactive Map,computer science,world wide web,multimedia
Standardised Framework to Study the Influence of Left Atrial RF Catheter Ablation Parameters on Permanent Lesion Formation,computer science,cardiology,internal medicine
Topology Experimentation in a Zigbee Wireless Sensor Network,computer science,real time computing,computer network
Tools & Techniques for Malware Analysis and Classification,computer science,data mining,the internet
On Leveraging Executable Language Engineering for Domain-Specific Transformation Languages.,computer science,artificial intelligence,programming language
Heterogeneous Information Network Embedding for Meta Path based Proximity,mathematics,discrete mathematics,graph
Metaheuristic Design Pattern: Visitor for Genetic Operators,computer science,mathematical optimization,theoretical computer science
Information Literacy Programs in the Field of Law: Case Study of Two Law Faculties in Croatia,political science,law,pedagogy
State of Practice of Non-self-aware Virtual Machine Management in Cloud Data Centers,computer science,database,cloud computing
On the Computation of Centrality Metrics for Network Security in Mesh Networks,computer science,distributed computing,computer network
The difference-of-datasets framework: A statistical method to discover insight,computer science,artificial intelligence,data mining
Work in progress - Vertically integrated teams to inspire student interest in computing.,engineering,knowledge management,engineering management
Using network calculus on worst-case latency analysis for TTEthernet in preemption transmission mode,computer science,distributed computing,real time computing
Secret Key Agreement under Discussion Rate Constraints,mathematics,discrete mathematics,theoretical computer science
Investigation and performance analysis of OpenVX optimizations on computer vision applications,computer science,artificial intelligence,computer vision
A distributed forest fire fighting simulation system based on HLA,computer science,distributed computing,simulation
GNC of the SphereX Robot for Extreme Environment Exploration on Mars,engineering,simulation,robot
Unsupervised learning of verb argument structures,computer science,artificial intelligence,machine learning
Battery Lifetime-Aware Base Station Sleeping Control with M2M/H2H Coexistence,computer science,real time computing,computer network
A distributed algorithm for economic dispatch in a large-scale power system,engineering,simulation,management science
Angular Domain Data-Assisted Channel Estimation for Pilot Decontamination in Massive MIMO,computer science,distributed computing,telecommunications
Semi-Automatic Service Provision Based on Interaction of Data Warehouses for Evaluation of Water Resources,NA,NA,NA
Performance evaluation of depth map generation algorithm for stereo endoscopic camera,NA,NA,NA
Synchronization and state estimation for stochastic complex networks with uncertain inner coupling,mathematics,artificial intelligence,machine learning
Multi-objective branch and bound,mathematics,mathematical optimization,optimization problem
Path planning of modular robots on various terrains using Q-learning versus optimization algorithms,computer science,algorithm,artificial intelligence
"Optimal control, an introduction: Arturo Locatelli, Birkhäuser, London, Basel, 2000, ISBN 3-7643-6408-4.",NA,NA,NA
A tracking error control approach for model predictive position control of a quadrotor with time varying reference,engineering,simulation,search engine
New requirements prioritization based on customer historical profiles,NA,NA,NA
Welcome to the IDT 2016,NA,NA,NA
Eunomia: Scaling Concurrent Search Trees under Contention Using HTM,computer science,distributed computing,parallel computing
Adaptive Spatial Modulation Using Huffman Coding,mathematics,real time computing,control theory
Learning Multi-level Region Consistency with Dense Multi-label Networks for Semantic Segmentation,computer science,artificial intelligence,pattern recognition
Space-Time Graph Modeling of Ride Requests Based on Real-World Data,computer science,artificial intelligence,distributed computing
Low-Complexity Puncturing and Shortening of Polar Codes,computer science,real time computing,communications system
Modeling metaphor perception with distributional semantics vector space models.,mathematics,artificial intelligence,natural language processing
Software Architectures for Self-protection in IaaS Clouds,computer science,real time computing,software
Advances in Automotive Radar: A framework on computationally efficient high-resolution frequency estimation,computer science,artificial intelligence,computer vision
On-off Analog Beamforming for Massive MIMO,computer science,electronic engineering,architecture
A fast structured regression for large networks,computer science,artificial intelligence,data mining
The QUAIL Framework: Quality Assurance for Information Literacy Projects,engineering,knowledge management,management science
A novel approach to steel rivet detection in poorly illuminated steel structural environments,engineering,operations research,manufacturing engineering
Faster Evaluation of Labor-Intensive Features.,computer science,data mining,NA
An efficient protocol for Peer-to-Peer file sharing with mutual anonymity,computer science,distributed computing,computer network
A homotopy method for solving multilinear systems with M-tensors,mathematics,mathematical optimization,mathematical analysis
Experimental investigation of carrierless amplitude-phase transmission for vehicular visible light communication systems,computer science,computer network,telecommunications
Do website features matter in an online gamification context? Focusing on the mediating roles of user experience and attitude,computer science,marketing,social psychology
A low-power 6-bit MOS CML flash ADC with a novel multi-segment encoder for UWB applications,NA,NA,NA
The fate of retrotransposed processed genes in Arabidopsis thaliana,biology,genetics,molecular biology
A review on supply modulators for Envelope-Tracking Power Amplifiers,engineering,electronic engineering,bandwidth
Ieee Access Special Section Editorial: Special Section on Big Data for Green Communications and Computing,computer science,distributed computing,computer network
Natural language processing in mental health applications using non-clinical texts,computer science,artificial intelligence,natural language processing
An overview of fault tree analysis and its application in model based dependability analysis,computer science,data mining,real time computing
A proposal of knowledge base for applications in the scope of HIV/AIDS,medicine,data mining,knowledge management
Neurogenesis-Inspired Dictionary Learning: Online Model Adaption in a Changing World,computer science,artificial intelligence,machine learning
A new texture representation with multi-scale wavelet feature.,NA,NA,NA
Improving Broadcast Performance of Radio Duty-Cycled Internet-of-Things Devices,computer science,real time computing,computer network
Degrees of Freedom in Cached MIMO Interference Networks With Asynchronous User Requests,computer science,distributed computing,real time computing
